Date,Open,High,Low,Close,Volume,buy_setup_count,sell_setup_count,buy_perfect,sell_perfect,buy_intersection,sell_intersection,buy_countdown_count,sell_countdown_count,buy_countdown_recycled,sell_countdown_recycled,tdst_support,tdst_resistance,bb_middle,bb_upper,bb_lower,recommendation
2025-08-06 00:00:00-04:00,204.81744899810374,214.52892145014,204.77759854868273,212.40733337402344,108483100,0,1,False,False,False,False,0,0,False,False,,,209.4276565551758,216.9324421202909,201.9228709900607,HOLD
2025-08-07 00:00:00-04:00,218.01508808955717,219.97730473834642,215.7241736307253,219.16053771972656,90224800,0,2,False,False,False,False,0,0,False,False,,,209.80715103149413,218.449577856214,201.16472420677425,HOLD
2025-08-08 00:00:00-04:00,219.95738825778145,230.08719950298993,218.38362983130105,228.4437255859375,113854000,0,3,False,False,False,False,0,0,False,False,,,210.71305770874022,222.72554781944035,198.7005675980401,HOLD
2025-08-11 00:00:00-04:00,227.27701087414155,228.91238364576833,224.12592192869855,226.53909301757812,61806100,0,4,False,False,False,False,0,0,False,False,,,211.6502311706543,225.48999618647983,197.8104661548288,HOLD
2025-08-12 00:00:00-04:00,227.36673308681236,230.14887046423402,226.42939779448272,229.00210571289062,55626200,0,5,False,False,False,False,0,0,False,False,,,212.68615112304687,228.43484974577572,196.93745250031802,HOLD
2025-08-13 00:00:00-04:00,230.4181341091737,234.33703985510917,229.77992501054072,232.6717529296875,69878500,0,6,False,False,False,False,0,0,False,False,,,213.8532615661621,231.85335921144824,195.85316392087597,HOLD
2025-08-14 00:00:00-04:00,233.39969406647393,234.4567012802976,230.19875827485632,232.12330627441406,51916300,0,7,False,False,False,False,0,0,False,False,,,214.99992141723632,234.59997332507857,195.39986950939408,HOLD
2025-08-15 00:00:00-04:00,233.3398655982593,233.61907447658757,228.69300821277216,230.93666076660156,56038700,0,8,False,False,False,True,0,0,False,False,,,216.02947845458985,236.73231894166665,195.32663796751305,HOLD
2025-08-18 00:00:00-04:00,231.04634466466607,232.46233685580373,229.46083388892833,230.23863220214844,37476200,0,9,False,False,False,True,0,0,False,False,204.77759854868273,,216.95939178466796,238.48649627941,195.4322872899259,SELL (Setup Complete)
2025-08-19 00:00:00-04:00,230.6275464777077,232.21305735738468,228.70299840660482,229.90957641601562,39402600,1,0,False,False,False,False,0,0,False,False,204.77759854868273,,217.77723083496093,239.9912721580298,195.56318951189206,HOLD
2025-08-20 00:00:00-04:00,229.33119207499826,229.81981519856654,225.13307755654054,225.3723907470703,42263900,2,0,False,False,False,False,0,0,False,False,204.77759854868273,,218.38066177368165,240.73825458959794,196.02306895776536,HOLD
2025-08-21 00:00:00-04:00,225.63166356522294,225.88095827873425,223.14868274098328,224.26551818847656,30621200,3,0,False,False,False,False,0,0,False,False,204.77759854868273,,218.94817199707032,241.297854401928,196.59848959221264,HOLD
2025-08-22 00:00:00-04:00,225.53193619713707,228.44369658121065,224.77408575714253,227.11744689941406,42477800,4,0,False,False,False,False,0,0,False,False,204.77759854868273,,219.65230178833008,242.1046754990851,197.19992807757507,HOLD
2025-08-25 00:00:00-04:00,225.84107546750252,228.65312729963858,225.59178073979155,226.5191650390625,30983100,5,0,False,False,False,False,0,1,False,False,204.77759854868273,,220.31805114746095,242.7550000882023,197.8811022067196,HOLD
2025-08-26 00:00:00-04:00,226.22996704217394,228.84258604761433,224.05612439304167,228.6630859375,54575100,0,1,False,False,False,False,0,2,False,False,204.77759854868273,,221.22944717407228,243.45595832446102,199.00293602368353,HOLD
2025-08-27 00:00:00-04:00,227.96506627689797,230.24859923631865,227.6160475796746,229.8397674560547,31259500,0,2,False,False,False,False,0,3,False,False,204.77759854868273,,222.31023941040038,243.9689133856041,200.65156543519666,HOLD
2025-08-28 00:00:00-04:00,230.16883391080088,232.7515235304584,228.692998228932,231.90391540527344,38074700,0,3,False,False,False,False,0,4,False,False,204.77759854868273,,223.5679458618164,244.32463489075667,202.81125683287615,HOLD
2025-08-29 00:00:00-04:00,231.85405874294378,232.7216147258446,230.71727541448905,231.485107421875,39418400,0,4,False,False,False,False,0,5,False,False,204.77759854868273,,225.06318588256835,243.3071523990995,206.8192193660372,HOLD
2025-09-02 00:00:00-04:00,228.60325464814514,230.19874691737337,226.3296880547272,229.07192993164062,44075600,0,5,False,False,False,False,0,0,False,False,204.77759854868273,,226.38945922851562,241.2918659080908,211.48705254894043,HOLD
2025-09-03 00:00:00-04:00,236.5408165177042,238.17618932549604,233.69885053091846,237.79725646972656,66427800,0,6,False,False,False,False,0,6,False,False,204.77759854868273,,228.17341537475585,238.75919322032436,217.58763752918733,HOLD
2025-09-04 00:00:00-04:00,237.77731160532718,239.2232180033205,236.07214416452067,239.1035614013672,47549400,0,7,False,False,False,False,0,7,False,False,204.77759854868273,,229.50822677612305,238.3046747529702,220.71177879927592,HOLD
2025-09-05 00:00:00-04:00,239.32291694518142,240.63920029193574,237.81718240373485,239.0137939453125,54870400,0,8,False,False,False,True,0,8,False,False,204.77759854868273,,230.50088958740236,238.85006742346835,222.15171175133636,HOLD
2025-09-08 00:00:00-04:00,238.62490021245955,239.47249309970456,235.67324414176576,237.2089080810547,48999500,0,9,False,True,False,True,0,0,False,False,224.05612439304167,,230.93914871215821,239.74155062396122,222.1367468003552,SELL (Setup Complete)
2025-09-09 00:00:00-04:00,236.33139119913957,238.1063683630383,232.70166073618753,233.68887329101562,66313900,1,0,False,False,False,False,0,0,False,False,224.05612439304167,,231.29663772583007,239.92566285191754,222.6676125997426,HOLD
2025-09-10 00:00:00-04:00,231.53498298240493,231.7643298806428,225.31258085277642,226.15020751953125,83440800,2,0,False,False,False,False,0,0,False,False,224.05612439304167,,231.1540428161621,240.03334524278407,222.27474038954014,HOLD
